countries,count,,,
Brazil,43880,,,
USA,37840,,IGO,44541
Peru,11112,,,
UK,10278,,,
EU,7202,,,
Colombia,6721,,,
Spain,6432,,,
France,4314,,,
Germany,3586,,,
Canada,3447,,,
Ecuador,3218,,,
Australia,2011,,,
Japan,1866,,,
Belgium,1809,,,
Sweden,1121,,,
Netherlands,982,,,
Italy,845,,,
Ireland,832,,,
Switzerland,796,,,
Singapore,789,,,
Austria,773,,,
Mexico,642,,,
Venezuela,551,,,
Uruguay,506,,,
India,493,,,
Argentina,452,,,
Norway,444,,,
Chile,354,,,
New Zealand,336,,,
Turkey,329,,,
Finland,304,,,
Denmark,293,,,
Bolivia,254,,,
Guyana,254,,,
Taiwan,234,,,
South Africa,232,,,
Philippines,198,,,
Portugal,198,,,
Luxembourg,196,,,
Paraguay,169,,,
South Korea,161,,,
Tanzania,145,,,
China,139,,,
Indonesia,138,,,
Greece,137,,,
Bahamas,124,,,
Czech Republic,116,,,
Uganda,95,,,
Trinidad and Tobago,83,,,
Hungary,80,,,
Costa Rica,79,,,
Thailand,76,,,
Latvia,59,,,
Guatemala,57,,,
Slovenia,56,,,
Romania,54,,,
Estonia,49,,,
Kenya,49,,,
Egypt,47,,,
Poland,47,,,
Suriname,46,,,
Iceland,46,,,
Lithuania,46,,,
Sri Lanka,44,,,
El Salvador,42,,,
Cuba,41,,,
Dominican Republic,40,,,
Russia,40,,,
Panama,39,,,
Ethiopia,38,,,
North Macedonia,33,,,
Papua New Guinea,32,,,
Ukraine,32,,,
Kosovo,27,,,
Qatar,27,,,
Nicaragua,26,,,
Israel,25,,,
Pakistan,25,,,
Slovakia,24,,,
Morocco,23,,,
United Arab Emirates,22,,,
Lebanon,17,,,
Oman,16,,,
Ghana,16,,,
Mongolia,15,,,
Nigeria,15,,,
Cyprus,13,,,
Rwanda,13,,,
Burkina Faso,12,,,
Senegal,12,,,
Belize,12,,,
Albania,12,,,
Afghanistan,12,,,
Croatia,11,,,
Malaysia,11,,,
Barbados,10,,,
Myanmar,10,,,
Serbia,10,,,
Brunei,9,,,
Jamaica,9,,,
Nepal,8,,,
Zambia,8,,,
Saudi Arabia,8,,,
Cambodia,8,,,
Namibia,8,,,
Iraq,8,,,
Honduras,8,,,
Cameroon,8,,,
Bahrain,7,,,
Laos,7,,,
Mauritius,7,,,
Andorra,6,,,
Belarus,6,,,
Georgia,6,,,
Haiti,6,,,
Moldova,6,,,
Togo,6,,,
Vietnam,6,,,
Timor Leste,5,,,
Samoa,5,,,
Malta,5,,,
Iran,5,,,
Bosnia and Herzegovina,5,,,
Fiji,5,,,
Angola,4,,,
Benin,4,,,
Bhutan,4,,,
Democratic Republic Of The Congo,4,,,
Palau,4,,,
Mali,3,,,
Sao Tome and Principe,3,,,
Montenegro,3,,,
Botswana,3,,,
Maldives,3,,,
Guinea,3,,,
Azerbaijan,3,,,
Zimbabwe,2,,,
Uzbekistan,2,,,
Tunisia,2,,,
Syria,2,,,
Solomon Islands,2,,,
Niger,2,,,
Cape Verde,2,,,
Bangladesh,2,,,
Algeria,2,,,
Kuwait,2,,,
Liechtenstein,1,,,
Seychelles,1,,,
Saint Kitts and Nevis,1,,,
Mozambique,1,,,
Monaco,1,,,
Madagascar,1,,,
Kiribati,1,,,
Liberia,1,,,
Kyrgyzstan,1,,,
Jordan,1,,,
Eswatini,1,,,
Burundi,1,,,
Bulgaria,1,,,
Armenia,1,,,
Tajikistan,1,,,
